X,Y,FID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
-3.19999999999993,58.833333333,49,32490,32390,LYNESS,GB,58.833333,-3.2,58,50,N,3,12,W,141,35057,M,CN,F,Y,N,N,Y,Y,H,J,L,C,3, , , , , ,Y,Y,Y,0, , ,Y, ,0,Y,Y, ,Y, , , ,Y, ,0,0,0,Y,Y,0,Y, , , ,0, ,0,0, , ,0,0,0, ,Y,Y,Y, , ,C, , 
-1.14999999999998,60.15,164,32600,32510,LERWICK,GB,60.15,-1.15,60,9,N,1,9,W,141,35065,M,CN,F,N,N,N,Y, ,L,G,J,L,2,L,Y, ,N,N,Y,Y,Y,0, ,N,Y, ,0,Y,Y,Y, ,Y,Y, ,Y,Y,0,0,0,Y,Y,0,Y,Y,Y, ,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,B,S, 
-0.083333333999974,51.5000000000001,762,31470,31330,LONDON,GB,51.5,-0.083333,51,30,N,0,5,W,192,37036,L,RB,E,Y,N,N,Y,Y,L,G,O,K,6,L,Y,Y,Y,Y,Y,Y,Y,0,Y,N,Y, ,0,Y,Y,Y,Y, ,Y,Y,Y,Y,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y, ,0,0,0,Y,Y,Y,Y,Y, ,A,M,M
-0.066666666999936,53.583333333,875,31640,31330,GRIMSBY,GB,53.583333,-0.066667,53,35,N,0,4,W,192,37066,M,RT,E,Y,N,N,Y,Y,M,O,N, ,6,M, , ,Y,Y,Y,Y,Y,0,Y,N,Y, ,0,Y,Y,Y,Y, ,Y,Y,Y, ,0,0,0,Y, ,0,Y,Y,Y, ,0,Y,0,0,Y, ,0,0,0,Y,Y,Y,Y,Y,Y,C,M,S
-0.2,53.6333333330001,876,31650,31330,IMMINGHAM,GB,53.633333,-0.2,53,38,N,0,12,W,192,37066,M,RT,E,Y,N,N,Y,Y,L,N,H,K,5,L, , ,Y,N,Y,Y,Y,0,Y,N,Y, ,0, , , ,Y, ,Y,Y, ,Y,0,0,0,Y, ,0,Y,Y,Y, ,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,M,M
-0.283333332999973,53.7500000000001,877,31660,31330,KINGSTON UPON HULL,GB,53.75,-0.283333,53,45,N,0,17,W,192,37062,M,RT,E,Y,N,N,Y,Y,N,N,K,K,6,L, , ,Y,N,Y,Y,Y,0,Y,N,Y, ,0,Y,Y, ,Y, ,Y,Y,Y, ,0,0,0,Y, ,0,Y,Y,Y,Y,0, ,0,0, , ,0,0,0,Y,Y,Y,Y,Y,Y,A,M, 
4.48333333300008,51.9,882,31140,30980,ROTTERDAM,NL,51.9,4.483333,51,54,N,4,29,E,192,37243/1,L,RB,F,N,N,N,Y,Y,J,J,M,H,1,L,Y,Y,Y, ,Y,Y,Y,0,Y, ,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,Y,N,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,M,S
9.93333333300006,53.5500000000001,890,30780,30650,HAMBURG,DE,53.55,9.933333,53,33,N,9,56,E,192,37230,L,LC,E,Y,N,Y,Y,Y,K, ,M,O,3,M,Y,Y,Y,Y,Y,Y,Y,0,Y, ,Y, ,0,Y,Y,Y,Y, ,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,M,L
8.71666666700003,53.8666666660001,891,30800,30650,CUXHAVEN,DE,53.866667,8.716667,53,52,N,8,43,E,192,37226,M,RB,G,N,N,N,Y, ,G,O,M, ,3,M, , ,Y,N,Y,Y,Y,0,Y, ,Y, ,0,Y,Y,Y,Y, , ,Y,Y,Y,0,0,0,Y,Y,0,Y,Y, , ,0,Y,0,0,Y, ,0,0,0,Y,Y,Y,Y,Y,Y,B, ,L
8.58333333300004,53.533333333,892,30810,30650,BREMERHAVEN,DE,53.533333,8.583333,53,32,N,8,35,E,192,37234,L,RT,E,Y,N,N,Y,Y,J,L,N, ,4,M, ,Y,Y,N,Y,Y,Y,0,Y,N,Y, ,0,Y,Y,Y,Y, ,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,S,L
8.48333333300008,53.333333334,894,30850,30650,BRAKE,DE,53.333333,8.483333,53,20,N,8,29,E,192,37235,M,RT,G,Y,N,N,Y, ,L,L,J, ,4,M, , ,Y,N,Y,Y, ,0,Y, ,Y,Y,0, , , ,Y,Y,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y, ,0, ,0,0,Y, ,0,0,0,Y,Y,Y,Y, , ,C,S, 
8.76666666700004,53.1333333330001,897,30900,30650,BREMEN,DE,53.133333,8.766667,53,8,N,8,46,E,192,37236,L,RT,F,Y,N,N, , ,L,L,N,L,4,M, ,Y,Y,N,Y,Y,Y,0,Y,Y,Y, ,0,Y,Y,Y,Y, ,Y,Y,Y,Y,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,S, 
7.18333333300006,53.333333334,899,30950,30650,EMDEN,DE,53.333333,7.183333,53,20,N,7,11,E,192,37224,M,RT,G,Y,N,N,Y,Y,L,J,M,K,3,M, ,Y,Y,N,Y,Y,Y,0,Y, ,Y,Y,0, ,Y,Y,Y,Y, ,Y,Y, ,0,0,0,Y,Y,0,Y, ,Y, ,0,Y,0,0,Y,Y,0,0,0, , ,Y,Y,Y,Y,A,L,M
2.38333333400004,51.0500000000001,1145,35730,35720,DUNKERQUE PORT EST,FR,51.05,2.383333,51,3,N,2,23,E,191, ,M,RT,E,Y,N,N,Y,Y,G,C,G,H,6,L,Y,Y,Y,N,Y,Y,Y,0,Y, ,Y,Y,0, ,Y,Y,Y, ,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y, ,0,0,0, ,Y,Y,Y,Y,Y,A,L, 
4.90000000000003,52.3666666670001,1321,31060,30980,AMSTERDAM,NL,52.366667,4.9,52,22,N,4,54,E,192,37163,L,LC,E,N,N,N,Y,Y,H,G,K,L,2,M, ,Y,Y,Y,Y,Y, ,0,Y, ,Y, ,0,Y, ,Y,Y,Y,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,M,S
4.11666666700006,51.95,1324,31085,30980,EUROPOORT,NL,51.95,4.116667,51,57,N,4,7,E,192,37241/2,M,LC,G,N,N,N,Y, ,C,J,J,H,1,L, , ,Y, ,Y,Y,Y,0, , ,Y, ,0,Y, , ,Y,Y, ,Y,Y,Y,0,0,0, , ,0,N, ,Y,Y,0, ,0,0, , ,0,0,0, ,Y,Y, , , , , ,M
-1.36666666699995,54.9166666670001,2120,31760,31330,SUNDERLAND,GB,54.916667,-1.366667,54,55,N,1,22,W,192, ,M,RT,G,Y,Y,N,Y,Y,M,H,M,L,4,L, ,Y,Y,N,Y,Y,Y,0,Y, ,Y, ,0,Y,Y, ,Y, ,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y, ,0, ,0,0, ,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,S,M
-1.39999999999998,55.0000000000001,2121,31765,31330,TYNEMOUTH,GB,55.0,-1.4,55,0,N,1,24,W,192, ,M,RT,E,N,N,N,Y,Y,L,H,M,N,3,L, , ,Y,N,Y,Y,Y,0, , ,Y, ,0,Y,Y, ,Y, ,Y,Y,Y, ,0,0,0,Y,Y,0,N,Y,Y,Y,0, ,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,L,S
-1.49999999999994,55.1166666670001,2122,31820,31330,BLYTH,GB,55.116667,-1.5,55,7,N,1,30,W,192, ,M,RN,G,Y,N,N,Y, ,L,E,M, ,3,M, , ,Y,N,Y,N,Y,0,Y, ,Y, ,0,Y,Y, ,Y,Y,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y, ,0,Y,0,0,Y, ,0,0,0,Y,Y,Y,Y,Y,Y,B, , 
-3.18333333399994,55.9833333340001,2236,31930,31870,LEITH,GB,55.983333,-3.183333,55,59,N,3,11,W,192,35037,M,RT,G,Y,N,N,Y,Y,M,L,M,L,2,M,Y,Y,Y,Y,Y, ,Y,0,Y, ,Y,Y,0,Y, , ,Y, ,Y,Y, , ,0,0,0,Y,Y,0, ,Y,Y, ,0,Y,0,0,Y,Y,0,0,0, ,Y,Y,Y,Y,Y,A,M,S
-2.94999999999993,56.466666667,2244,32170,31870,DUNDEE,GB,56.466667,-2.95,56,28,N,2,57,W,141, ,L,RB,E,Y,N,N,Y,Y,M,L,K,L,5,L, , ,Y,N,Y,Y,Y,0,Y,Y,Y,Y,0, ,Y,Y,Y,Y,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y, ,0, ,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,B, , 
-2.08333333299993,57.15,2247,32220,31870,ABERDEEN,GB,57.15,-2.083333,57,9,N,2,5,W,141,35013,M,RB,G,Y,N,N, ,Y,N,K,K,M,4,L,Y, ,Y,N,Y,Y,Y,0,Y, ,Y,Y,0, ,Y,Y, ,Y,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y, ,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,C,S, 
-1.78333333299997,57.5000000000001,2248,32230,31870,PETERHEAD,GB,57.5,-1.783333,57,30,N,1,47,W,141,35013,M,CB,G,Y,Y,N,Y, ,K,H,K,K,3,L,Y,Y,Y,N,Y,Y,Y,0, ,N,Y, ,0, ,Y,Y, ,Y,Y,Y,Y, ,0,0,0,Y,Y,0,Y, ,Y, ,0,Y,0,0,Y, ,0,0,0,Y,Y,Y,Y,Y,Y,B,S, 
-1.13333333299994,54.65,2250,31720,31330,TEESPORT,GB,54.65,-1.133333,54,39,N,1,8,W,192, ,L,RT,G,Y,N,N,Y,Y,G,H,M,M,3,M, ,Y,Y,N,Y,Y,Y,0,Y, ,Y, ,0,Y,Y,Y,Y,Y,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,M,M
4.65000000000003,51.816666667,2252,31150,30980,DORDRECHT,NL,51.816667,4.65,51,49,N,4,39,E,192,37243,M,RN,G,Y,N,Y,Y,Y,K,J,L,M,1,L, , ,Y,N,Y,Y,Y,0,Y, ,Y,Y,0,Y,Y,Y,Y, , ,Y,Y, ,0,0,0,Y,Y,0,Y, ,Y,Y,0,Y,0,0,Y, ,0,0,0,Y,Y,Y,Y,Y,Y,C, ,S
3.60000000000002,51.45,2253,31210,30980,VLISSINGEN,NL,51.45,3.6,51,27,N,3,36,E,192,37248,M,RN,G,N,N,N,Y, ,H,K,L,K,4,M, , ,Y,N,Y,Y,Y,0,Y, ,Y,N,0, ,Y,Y,Y,Y,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y, ,0,Y,0,0,Y, ,0,0,0, ,Y,Y,Y,Y,Y,A,M,S
3.81666666700005,51.3500000000001,2254,31220,30980,TERNEUZEN,NL,51.35,3.816667,51,21,N,3,49,E,192,37246,M,RT,G,N,N,N,Y,Y,K,G,N,L,4,M,Y,Y,N, ,Y,Y,Y,0,Y, ,Y,N,0, , , ,Y, , ,Y,Y,Y,0,0,0,Y,Y,0,Y,Y,Y, ,0, ,0,0,Y, ,0,0,0,Y,Y,Y,Y,Y,Y,C,M,M
4.40000000000003,51.216666666,2255,31250,31240,ANTWERPEN,BE,51.216667,4.4,51,13,N,4,24,E,192,37246,L,RT,G,N,N,Y,Y,Y,J,C,J,M,4,M, ,Y,Y,Y,Y,Y,Y,0, ,N,Y,Y,0, ,Y,Y,Y,Y,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,L, 
3.73333333400006,51.066666667,2257,31270,31240,GHENT,BE,51.066667,3.733333,51,4,N,3,44,E,192,37246,M,LC,F,N,N,N,Y,Y,J,G,J,N,0,L,Y,Y,Y,N,Y,Y,Y,0,Y, ,Y, ,0,Y,Y,Y,Y,Y,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y, ,0, ,0,0, , ,0,0,0,Y,Y,Y,Y,Y,Y,B,M,M
3.20000000000005,51.333333333,2258,31280,31240,ZEEBRUGGE,BE,51.333333,3.2,51,20,N,3,12,E,192,37248,M,CB,G,Y,N,N,Y,N,K,L,G,H,4,L, ,Y,Y,N,Y,Y,Y,0,Y, ,Y,Y,0,Y,Y,Y,Y, ,Y,Y,Y, ,0,0,0,Y,Y,0,Y, ,Y, ,0, ,0,0,Y,Y,0,0,0, ,Y,Y,Y,Y,Y,C,M,L
5.51666666700004,59.266666666,2459,23451,20620,KARSTO,NO,59.266667,5.516667,59,16,N,5,31,E,182, ,M,OR,F, , , ,Y,Y,A,A,J,G,0,L, , , ,N,Y,Y,Y,0,Y, ,Y, ,0,Y, , ,Y, , , , ,Y,0,0,0,Y, ,0, , , , ,0, ,0,0, , ,0,0,0, ,Y,N,N, , ,C,M, 
5.75000000000006,58.966666667,2464,23480,20620,STAVANGER,NO,58.966667,5.75,58,58,N,5,45,E,182,43342,M,CB,E,Y,N,N,N,Y,A,A,L,K,1,L,Y, ,Y,N,Y,Y,Y,0,Y,N,Y, ,0,Y,Y, ,Y,Y,Y,Y,Y,Y,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y, ,0,0,0,Y,Y,Y,Y,Y,Y,B,L, 
10.5000000000001,59.4166666670001,2532,23750,20620,HORTEN,NO,59.416667,10.5,59,25,N,10,30,E,193,43386,M,CN,G,N,Y,N,Y,Y,K,K,M, ,1,M,Y, ,Y,N,Y,Y,Y,0, , ,Y, ,0,Y,Y,Y,Y, ,Y,Y,Y,Y,0,0,0,Y,Y,0, , ,Y,Y,0,Y,0,0,Y, ,0,0,0, ,Y,Y, ,Y,Y,A,M,M
10.2500000000001,59.7333333330001,2535,23780,20620,DRAMMEN,NO,59.733333,10.25,59,44,N,10,15,E,193,43378,M,CB,G,N,N,Y,Y,Y,K,B,M,L,0,L,Y, ,Y,N,Y,N,Y,0,Y, ,Y,Y,0, ,Y, ,Y,Y,Y,Y,Y,Y,0,0,0,Y,Y,0,Y, ,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y, , ,B, ,L
10.7500000000001,59.9166666670001,2537,23810,20620,OSLO,NO,59.916667,10.75,59,55,N,10,45,E,193,43372,L,CN,G,N,N,N,Y, ,J,E,N,N,1,L,Y,Y,Y,Y,Y,Y,Y,0,Y, ,Y, ,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,0,0,0,Y,Y,0,Y,Y,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A, ,L
5.03333333300003,60.816666667,2754,23138,20620,MONGSTAD,NO,60.816667,5.033333,60,49,N,5,2,E,182, ,M,OR,G,N,N,N,Y,N,A,A,M,L,7,M,N,N,Y,N,Y,Y,Y,0,Y,N,Y,Y,0, ,Y,N,Y,Y,Y, ,Y,N,0,0,0, ,Y,0,Y, ,Y, ,0, ,0,0, , ,0,0,0,Y,Y,Y,Y, , ,C,M, 
5.31666666600006,60.4,2756,23160,20620,BERGEN,NO,60.4,5.316667,60,24,N,5,19,E,182,43322/1,M,CN,E,N,N,N,Y,Y,A,L,J,M,1,L,Y,Y,Y,N,Y,Y,Y,0,Y, ,Y,Y,0, ,Y,Y,Y,Y,Y,Y,Y,Y,0,0,0,Y,N,0,Y,Y,Y,Y,0,Y,0,0,Y,Y,0,0,0,Y,Y,Y,Y,Y,Y,A,M,S
2.35000000000002,51.066666667,2999,35732,35720,DUNKERQUE PORT OUEST,FR,51.066667,2.35,51,4,N,2,21,E,191, ,M,CT,G,Y,N,N,Y,Y,C,C,B,B,6,L,Y,Y,Y,N,Y,Y,Y,0,Y, ,Y,Y,0, ,Y,Y,Y, ,Y,Y,Y, ,0,0,0,Y,Y,0,Y,Y,Y, ,0,Y,0,0,Y, ,0,0,0, ,Y,Y,Y,Y,Y,C, , 
